model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
Semantics_Naive_Average,0.62,0.9845,0.3387,0.504,0.9467,0.0533,0.3939,142,8,992,508
Semantics_Naive_Average,0.63,0.9844,0.336,0.501,0.9467,0.0533,0.3915,142,8,996,504
Semantics_Naive_Average,0.64,0.9842,0.3327,0.4973,0.9467,0.0533,0.3885,142,8,1001,499
Semantics_Naive_Average,0.65,0.9859,0.3267,0.4907,0.9533,0.0467,0.3836,143,7,1010,490
Semantics_Naive_Average,0.66,0.9859,0.3267,0.4907,0.9533,0.0467,0.3836,143,7,1010,490
Semantics_Naive_Average,0.67,0.9857,0.3213,0.4847,0.9533,0.0467,0.3788,143,7,1018,482
Semantics_Naive_Average,0.68,0.9876,0.318,0.4811,0.96,0.04,0.3764,144,6,1023,477
Semantics_Naive_Average,0.69,0.9875,0.3153,0.478,0.96,0.04,0.3739,144,6,1027,473
Semantics_Naive_Average,0.7,0.9874,0.3147,0.4772,0.96,0.04,0.3733,144,6,1028,472
Semantics_Naive_Average,0.71,0.9874,0.3127,0.4749,0.96,0.04,0.3715,144,6,1031,469
Semantics_Naive_Average,0.72,0.9872,0.3087,0.4703,0.96,0.04,0.3679,144,6,1037,463
Semantics_Naive_Average,0.73,0.9872,0.3073,0.4687,0.96,0.04,0.3667,144,6,1039,461
Semantics_Naive_Average,0.74,0.9871,0.306,0.4672,0.96,0.04,0.3655,144,6,1041,459
Semantics_Naive_Average,0.75,0.987,0.304,0.4648,0.96,0.04,0.3636,144,6,1044,456
Semantics_Naive_Average,0.76,0.9869,0.3007,0.4609,0.96,0.04,0.3606,144,6,1049,451
Semantics_Naive_Average,0.77,0.9868,0.2987,0.4585,0.96,0.04,0.3588,144,6,1052,448
Semantics_Naive_Average,0.78,0.9867,0.2973,0.457,0.96,0.04,0.3576,144,6,1054,446
Semantics_Naive_Average,0.79,0.9889,0.296,0.4556,0.9667,0.0333,0.357,145,5,1056,444
Semantics_Naive_Average,0.8,0.9888,0.2953,0.4548,0.9667,0.0333,0.3564,145,5,1057,443
Semantics_Naive_Average,0.81,0.9932,0.2927,0.4521,0.98,0.02,0.3552,147,3,1061,439
Semantics_Naive_Average,0.82,0.9931,0.2887,0.4473,0.98,0.02,0.3515,147,3,1067,433
Semantics_Naive_Average,0.83,0.9954,0.2873,0.4459,0.9867,0.0133,0.3509,148,2,1069,431
Semantics_Naive_Average,0.84,0.9954,0.286,0.4443,0.9867,0.0133,0.3497,148,2,1071,429
Semantics_Naive_Average,0.85,0.9953,0.2853,0.4435,0.9867,0.0133,0.3491,148,2,1072,428
Semantics_Naive_Average,0.86,0.9953,0.282,0.4395,0.9867,0.0133,0.3461,148,2,1077,423
Semantics_Naive_Average,0.87,0.9952,0.2787,0.4354,0.9867,0.0133,0.343,148,2,1082,418
Semantics_Naive_Average,0.88,0.994,0.1107,0.1992,0.9933,0.0067,0.1909,149,1,1334,166
Semantics_Naive_Average,0.89,0.9939,0.1093,0.197,0.9933,0.0067,0.1897,149,1,1336,164
Semantics_Naive_Average,0.9,0.9939,0.1093,0.197,0.9933,0.0067,0.1897,149,1,1336,164
Semantics_Naive_Average,0.91,1.0,0.108,0.1949,1.0,0.0,0.1891,150,0,1338,162
Semantics_Naive_Average,0.92,1.0,0.1073,0.1939,1.0,0.0,0.1885,150,0,1339,161
Semantics_Naive_Average,0.93,1.0,0.1033,0.1873,1.0,0.0,0.1848,150,0,1345,155
Semantics_Naive_Average,0.94,1.0,0.102,0.1851,1.0,0.0,0.1836,150,0,1347,153
Semantics_Naive_Average,0.95,1.0,0.0867,0.1595,1.0,0.0,0.1697,150,0,1370,130
Semantics_Naive_Average,0.96,1.0,0.0833,0.1538,1.0,0.0,0.1667,150,0,1375,125
Semantics_Naive_Average,0.97,1.0,0.0807,0.1493,1.0,0.0,0.1642,150,0,1379,121
Semantics_Naive_Average,0.98,1.0,0.078,0.1447,1.0,0.0,0.1618,150,0,1383,117
Semantics_Naive_Average,0.99,1.0,0.0747,0.139,1.0,0.0,0.1588,150,0,1388,112
Semantics_Corrected_Fusion,0.01,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.02,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.03,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.04,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.05,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.06,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.07,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.08,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
